transaction_amount,transaction_type,time_of_day,is_first_time_recipient,urgency_indicator,amount_unusual_for_user,transaction_speed,agent_location_risk,transaction_region,unusual_hours_for_region,multiple_quick_attempts,session_duration_seconds,is_fraud,fraud_type
68.10410754,cash-in,morning,0,1,1,normal,low,same_region,0,0,872.4570763,0,legitimate
58.93742846,cash-in,morning,0,0,1,normal,low,different_region,0,0,241.6609306,0,legitimate
166.789985,transfer,afternoon,0,0,1,normal,low,same_region,0,0,275.6765952,0,legitimate
230.5044493,cash-out,morning,0,0,0,normal,high,different_region,0,0,318.4720985,0,legitimate
246.6399672,transfer,night,0,0,0,normal,low,same_region,1,1,89.48746512,0,legitimate
251.23051,transfer,morning,0,0,0,normal,low,same_region,0,0,736.660326,0,legitimate
500.8331369,cash-in,morning,0,1,1,normal,medium,different_region,0,0,60.55372008,0,legitimate
53.611705,cash-in,afternoon,1,1,0,normal,low,same_region,0,0,321.1824897,0,legitimate
221.7299404,cash-out,afternoon,0,1,1,normal,low,same_region,0,0,134.5407469,0,legitimate
204.4515733,cash-in,night,0,1,0,normal,low,different_region,0,0,252.3737068,0,legitimate
322.2297253,transfer,night,1,0,0,normal,high,same_region,1,0,374.9334282,0,legitimate
21.55500333,transfer,night,0,1,1,normal,high,same_region,0,0,233.5527285,0,legitimate
359.3002648,cash-in,morning,0,0,0,immediate,medium,same_region,0,1,199.2200243,0,legitimate
165.867345,cash-in,night,0,0,0,normal,medium,different_region,0,1,1685.015161,0,legitimate
119.8331693,transfer,night,0,0,1,normal,low,same_region,0,0,203.2517331,1,legitimate
542.3354005,transfer,morning,0,1,1,immediate,medium,same_region,0,0,315.1895976,0,identity_theft
298.4046212,cash-out,night,1,0,1,immediate,medium,same_region,0,0,508.9885332,0,legitimate
161.9063613,cash-out,night,0,0,1,normal,low,same_region,0,0,172.5041549,0,legitimate
238.6161433,cash-in,night,0,0,0,normal,medium,same_region,0,0,218.02318,0,legitimate
627.8328625,cash-in,night,1,0,1,normal,low,different_region,0,0,170.3584974,0,legitimate
58.11662089,cash-out,night,0,0,0,normal,low,same_region,1,0,185.6068838,0,legitimate
66.96726407,transfer,night,1,1,1,normal,high,different_region,0,0,331.8994474,0,legitimate
1.561270062,transfer,morning,0,0,1,normal,high,same_region,0,0,9.507123202,0,social_engineering
635.1016021,cash-out,night,0,0,1,immediate,low,same_region,0,0,341.4375879,0,legitimate
810.840704,transfer,afternoon,0,0,1,normal,low,same_region,0,1,451.1614893,0,legitimate
109.0216222,cash-in,afternoon,0,0,1,normal,high,different_region,0,0,285.1731238,0,legitimate
92.89133768,transfer,afternoon,0,0,0,normal,low,same_region,0,1,1557.745843,0,legitimate
175.0064837,transfer,morning,0,0,0,normal,medium,same_region,0,0,238.9077631,0,social_engineering
7.659958581,cash-in,night,0,0,1,normal,low,same_region,0,0,364.6313765,0,legitimate
522.9459982,cash-out,afternoon,0,1,0,normal,low,same_region,0,0,24.07078561,0,legitimate
86.78363483,cash-in,afternoon,0,1,0,normal,low,same_region,0,0,431.6005562,0,legitimate
292.3280428,transfer,morning,0,0,1,normal,low,same_region,1,0,330.7861521,0,legitimate
160.7558378,cash-out,night,1,1,1,normal,low,same_region,1,0,324.7986888,0,legitimate
218.1276853,transfer,night,0,0,0,normal,low,same_region,0,0,176.6173382,0,legitimate
108.5400335,cash-out,night,0,0,0,normal,medium,same_region,0,1,46.91254113,0,legitimate
89.4548159,cash-in,morning,1,1,0,immediate,medium,different_region,0,0,139.9149494,0,legitimate
124.2762085,cash-in,afternoon,1,0,0,normal,medium,same_region,0,0,331.3926046,0,legitimate
76.79144694,cash-out,night,0,1,0,normal,low,same_region,0,0,142.7763186,0,legitimate
159.1389868,cash-in,night,0,0,0,normal,low,same_region,0,0,53.14044669,0,legitimate
221.9250825,cash-in,night,1,0,1,normal,high,same_region,0,0,115.1387051,0,legitimate
1179.183732,cash-in,morning,1,0,0,normal,high,same_region,0,0,296.2164039,0,legitimate
299.8248413,cash-out,night,0,0,0,normal,low,same_region,1,0,116.043986,0,legitimate
125.4674423,transfer,afternoon,0,0,0,immediate,low,different_region,1,0,168.5365345,0,legitimate
92.21674329,cash-in,morning,0,1,1,normal,low,same_region,0,1,238.6257234,0,legitimate
28.91349875,cash-in,afternoon,0,0,0,normal,low,same_region,0,0,203.4568832,0,legitimate
107.0793903,cash-out,afternoon,1,0,1,normal,medium,same_region,1,0,174.7067961,1,legitimate
1183.931555,cash-in,night,0,0,1,immediate,medium,same_region,0,0,263.4395201,0,legitimate
286.5253845,cash-out,afternoon,0,0,0,normal,low,different_region,1,0,80.74023378,0,legitimate
137.8215319,cash-in,night,0,1,0,normal,low,different_region,0,0,162.8722674,0,legitimate
217.1352162,cash-out,night,0,0,1,normal,medium,different_region,1,0,370.8588487,0,legitimate
381.1287616,cash-in,afternoon,0,1,1,normal,medium,same_region,0,0,12.47491758,0,legitimate
317.5438153,cash-in,morning,1,0,1,normal,high,same_region,0,1,37.86085216,0,legitimate
75.37198732,cash-in,morning,0,0,0,normal,low,same_region,0,0,100.1752088,0,legitimate
183.3487561,transfer,morning,0,0,1,normal,high,same_region,0,0,209.3338789,0,legitimate
122.0109441,cash-out,afternoon,0,0,0,normal,low,same_region,0,0,95.82600253,0,legitimate
259.0017914,cash-in,afternoon,1,1,0,normal,low,different_region,0,0,407.9411063,0,legitimate
219.3360112,cash-in,afternoon,1,0,1,normal,low,same_region,0,0,328.4608943,0,legitimate
213.4166469,cash-out,night,0,0,0,normal,low,same_region,0,0,7.430894698,0,legitimate
265.1725553,cash-out,afternoon,1,0,0,normal,high,same_region,0,1,896.984873,0,sim_swap
102.9242379,cash-in,afternoon,0,0,0,immediate,medium,same_region,0,0,1244.509995,0,legitimate
75.13118144,cash-in,morning,0,0,1,normal,low,same_region,0,0,113.5854372,0,legitimate
86.02947227,cash-in,afternoon,0,0,0,normal,medium,same_region,0,0,342.2161142,0,legitimate
98.00031406,cash-in,night,0,0,1,normal,high,different_region,0,0,542.5702766,0,legitimate
380.7346564,transfer,afternoon,0,0,1,immediate,high,same_region,0,0,318.9593556,0,legitimate
364.7820831,cash-out,afternoon,0,0,1,immediate,low,same_region,0,1,140.4370385,0,legitimate
44.57845685,cash-out,morning,0,1,0,normal,low,same_region,0,0,279.1471544,0,legitimate
5956.383452,cash-in,afternoon,0,0,0,normal,low,same_region,0,0,131.5007503,0,legitimate
150.2344489,transfer,afternoon,0,0,0,normal,low,same_region,0,0,313.3884366,0,legitimate
206.7912447,cash-in,night,0,0,0,normal,medium,same_region,0,0,1101.176719,0,legitimate
60.22777438,cash-in,night,0,1,1,normal,medium,same_region,0,0,170.9945976,0,legitimate
217.330946,transfer,afternoon,0,1,0,normal,low,same_region,0,0,200.370587,0,legitimate
45.51147773,cash-in,night,0,0,1,normal,low,different_region,0,0,681.6681407,0,legitimate
267.0750818,cash-in,morning,0,0,0,normal,high,same_region,0,0,260.456587,0,legitimate
97.67596048,cash-in,night,0,0,0,immediate,low,same_region,0,1,1110.190792,0,legitimate
74.70218795,cash-in,morning,0,1,0,normal,medium,same_region,1,0,33.99060099,0,legitimate
89.88356481,cash-in,afternoon,0,0,1,normal,low,different_region,1,0,777.6975534,0,legitimate
1414.497355,cash-in,afternoon,0,0,1,normal,low,different_region,0,0,243.3140425,0,legitimate
82.18568767,cash-in,night,0,1,0,normal,medium,same_region,0,0,65.71084639,0,legitimate
90.29691904,cash-in,night,0,1,0,normal,low,same_region,0,0,121.0965209,0,legitimate
82.25341582,cash-out,morning,0,1,1,normal,low,different_region,0,0,1298.974806,0,legitimate
158.6056768,cash-out,night,0,0,1,normal,low,different_region,0,0,51.91606462,0,legitimate
34.78011587,transfer,morning,0,0,0,normal,low,same_region,0,0,219.2144278,0,legitimate
62.71583776,cash-out,afternoon,1,0,1,normal,low,same_region,1,0,918.2674693,1,legitimate
26.26583293,cash-out,afternoon,0,0,0,normal,high,same_region,0,1,49.10234995,0,sim_swap
97.74969302,cash-in,night,0,0,0,normal,high,same_region,0,1,331.3275073,0,legitimate
137.9624962,cash-in,night,0,1,1,normal,low,same_region,0,1,257.6654664,0,legitimate
53.95216261,cash-in,night,1,0,0,normal,low,same_region,0,0,330.6799311,0,legitimate
76.15355798,cash-out,night,1,1,0,normal,medium,same_region,0,0,245.8537436,0,legitimate
360.4752526,transfer,afternoon,0,1,1,immediate,low,same_region,0,0,274.4888296,0,legitimate
110.8828357,cash-in,night,0,1,0,normal,low,same_region,1,1,254.7673613,0,legitimate
226.028637,cash-in,night,1,1,1,normal,medium,same_region,0,0,508.2007985,0,legitimate
727.1285372,transfer,night,0,0,1,immediate,low,different_region,0,0,769.9360952,0,legitimate
275.3376208,transfer,afternoon,0,0,0,normal,low,same_region,0,0,120.942278,0,legitimate
191.6387438,cash-out,morning,0,0,0,normal,low,same_region,0,0,974.4900856,0,legitimate
308.0206995,cash-out,night,0,0,0,normal,high,same_region,0,0,312.4018376,0,legitimate
706.3556249,cash-in,afternoon,0,1,0,normal,low,same_region,0,0,668.2025905,0,legitimate
75.05253654,cash-out,night,0,0,0,normal,high,same_region,0,0,310.3247965,0,legitimate
62.57376331,cash-out,morning,1,0,0,normal,low,same_region,1,0,718.9546357,0,legitimate
266.4138196,cash-in,night,1,0,1,normal,high,same_region,0,0,132.3015616,0,legitimate
391.6023212,cash-in,night,1,0,0,normal,medium,same_region,1,0,938.7814779,0,legitimate
19.41926727,transfer,afternoon,0,0,1,normal,high,different_region,0,0,205.6563016,0,legitimate
148.084904,cash-in,morning,0,0,1,immediate,low,different_region,0,0,595.2228136,0,legitimate
849.0742241,transfer,night,0,0,1,normal,low,different_region,0,0,193.0173326,0,legitimate
114.164758,cash-out,night,1,0,0,normal,low,same_region,0,0,328.7618934,0,legitimate
1198.128459,cash-in,afternoon,1,1,1,immediate,high,same_region,0,1,217.2598006,0,legitimate
596.6524585,cash-in,morning,0,0,0,normal,medium,same_region,0,0,269.6164674,0,legitimate
240.4630273,transfer,morning,0,0,1,normal,low,same_region,0,0,132.5314471,0,legitimate
68.19590042,cash-in,morning,0,0,1,normal,low,different_region,0,0,230.1441341,1,legitimate
107.4531951,transfer,morning,0,1,0,normal,low,same_region,0,0,126.018699,0,legitimate
180.3254522,cash-in,night,0,0,1,normal,medium,same_region,1,0,90.80376611,0,legitimate
68.12097563,cash-out,afternoon,0,0,0,normal,medium,same_region,1,0,136.5056132,0,legitimate
102.0451907,cash-out,night,0,0,1,immediate,medium,same_region,1,0,396.8863462,0,legitimate
99.33822975,transfer,night,0,0,1,normal,low,same_region,0,0,124.5832748,0,legitimate
44.5699025,cash-in,morning,0,0,0,normal,low,same_region,0,0,328.7104708,0,legitimate
1001.96595,transfer,afternoon,0,0,0,normal,medium,same_region,0,0,294.6302477,0,legitimate
77.06799343,cash-in,morning,1,0,0,normal,medium,same_region,1,0,207.8017062,0,legitimate
283.845228,cash-out,morning,0,1,0,normal,low,same_region,0,0,22.17163312,0,legitimate
208.4924495,cash-out,morning,0,1,0,normal,low,same_region,0,0,360.5543921,0,legitimate
160.2653763,cash-out,afternoon,0,0,1,normal,low,same_region,0,0,247.3376039,0,legitimate
24.132987,cash-out,morning,0,0,0,normal,medium,same_region,0,0,341.3816722,0,legitimate
667.5465101,cash-in,afternoon,0,0,0,normal,low,same_region,0,0,717.0826314,0,legitimate
97.15834804,cash-out,night,1,0,0,normal,high,different_region,0,0,1293.288571,0,legitimate
213.3291095,transfer,afternoon,0,0,0,normal,high,different_region,1,1,17.5827727,0,legitimate
110.9781044,cash-out,night,1,1,0,normal,low,same_region,0,1,163.4396085,0,legitimate
199.4554885,cash-out,night,1,1,0,normal,medium,same_region,0,0,130.6134608,0,legitimate
1.900207635,transfer,morning,0,1,1,normal,low,same_region,0,0,547.9875796,0,legitimate
272.1143099,transfer,morning,0,0,1,normal,low,different_region,0,0,675.4608528,0,legitimate
178.123135,cash-in,night,0,1,1,normal,medium,same_region,0,0,109.5132707,0,legitimate
3789.070419,cash-in,afternoon,1,1,0,normal,medium,same_region,1,0,180.02222,0,legitimate
39.42160877,cash-in,night,1,0,0,normal,medium,same_region,0,0,359.6786444,0,legitimate
52.05151842,cash-out,afternoon,0,1,1,normal,medium,same_region,1,1,444.2768184,1,legitimate
152.2460527,cash-out,night,0,0,0,normal,low,same_region,0,0,510.8078778,0,legitimate
369.26809,transfer,afternoon,0,0,0,normal,high,different_region,0,0,431.5552083,0,legitimate
164.4115039,transfer,night,0,0,0,immediate,medium,same_region,1,0,267.3416143,0,legitimate
199.8592734,transfer,morning,0,1,0,normal,low,same_region,0,0,54.06528837,0,legitimate
64.54997999,cash-in,morning,0,1,0,normal,low,same_region,0,0,416.6397205,0,legitimate
219.4091667,transfer,afternoon,0,0,1,normal,medium,different_region,0,0,310.515182,0,legitimate
202.2584001,transfer,morning,0,1,0,normal,low,different_region,0,0,556.4275209,0,legitimate
802.3100023,cash-in,morning,0,0,0,immediate,low,same_region,0,0,92.97813848,0,legitimate
200.6720612,cash-in,night,0,0,0,normal,high,same_region,0,0,73.59619751,0,legitimate
76.09301296,cash-out,afternoon,1,1,0,normal,high,same_region,0,0,36.97153515,0,legitimate
247.8971627,transfer,afternoon,0,1,0,normal,low,same_region,0,0,84.43179516,0,legitimate
334.526811,transfer,night,0,0,1,normal,high,different_region,0,0,883.394962,0,legitimate
94.43087408,cash-in,morning,0,1,0,normal,high,different_region,1,0,283.0429766,0,legitimate
313.0651532,cash-in,night,0,0,0,normal,medium,same_region,0,0,484.7753127,0,legitimate
234.0790697,cash-in,afternoon,1,1,0,immediate,high,same_region,1,1,1213.454302,0,legitimate
136.5809128,cash-in,night,0,0,0,immediate,medium,same_region,0,1,603.383929,0,legitimate
128.7815111,transfer,morning,0,0,1,normal,low,same_region,1,0,105.2839095,0,legitimate
228.891769,cash-in,afternoon,0,1,0,normal,low,same_region,0,0,362.5358582,0,legitimate
145.4620601,cash-in,morning,0,0,0,normal,low,same_region,0,0,47.85107233,0,legitimate
241.3621582,cash-in,night,1,0,0,normal,low,same_region,0,0,223.9748008,0,legitimate
557.8060656,transfer,afternoon,1,1,0,normal,low,same_region,1,0,404.014815,0,legitimate
261.292045,cash-out,morning,1,1,0,normal,medium,same_region,0,0,856.8857616,0,legitimate
578.1871825,cash-out,afternoon,0,1,1,normal,medium,same_region,1,0,65.17295897,0,legitimate
97.50339399,cash-out,night,1,0,0,normal,medium,same_region,0,0,764.5521474,0,legitimate
938.37223,transfer,afternoon,0,0,0,normal,low,same_region,1,1,178.9198796,0,legitimate
318.8621676,cash-out,morning,0,0,1,normal,medium,same_region,0,0,51.53221962,0,legitimate
583.1929495,cash-out,afternoon,1,0,1,normal,low,same_region,1,0,86.21087923,0,legitimate
517.2100762,cash-in,morning,1,1,1,normal,medium,different_region,1,0,60.23007154,0,legitimate
232.4784251,cash-in,afternoon,1,1,1,normal,low,different_region,0,0,19.82799784,0,legitimate
5.228163708,transfer,afternoon,0,0,0,normal,low,same_region,0,0,380.2036599,0,legitimate
329.9711245,cash-in,night,0,0,1,normal,low,same_region,0,0,373.243577,0,legitimate
284.3574022,cash-out,afternoon,0,0,1,normal,low,same_region,0,0,233.10022,0,legitimate
394.9775927,cash-in,night,1,0,1,normal,medium,same_region,0,0,253.3320206,0,legitimate
218.9648361,cash-in,afternoon,0,0,0,normal,medium,same_region,0,0,494.6944039,0,legitimate
171.2229608,transfer,night,1,0,0,normal,low,same_region,0,0,327.7562174,0,legitimate
128.3588044,cash-in,afternoon,0,1,0,normal,low,same_region,1,0,450.1986749,0,legitimate
343.9088283,cash-in,night,1,0,1,normal,low,different_region,0,0,40.44676145,0,legitimate
94.4643671,cash-out,afternoon,0,1,0,normal,medium,same_region,0,0,86.61121442,0,legitimate
80.1080027,cash-out,night,0,0,0,normal,medium,same_region,0,0,551.8230464,0,legitimate
191.0761354,cash-out,afternoon,0,1,0,normal,high,same_region,0,0,277.5081519,0,social_engineering
364.2419272,cash-in,morning,0,1,0,normal,low,different_region,0,0,101.3508451,0,legitimate
556.4877715,cash-in,night,1,1,0,normal,high,same_region,0,0,272.8504749,0,legitimate
219.9660385,cash-in,night,0,0,1,normal,low,same_region,0,0,145.7714568,0,legitimate
89.45139446,cash-in,afternoon,0,0,1,normal,low,same_region,0,0,119.8146104,0,legitimate
5.311012126,transfer,night,0,0,0,normal,low,same_region,0,0,363.3872426,0,legitimate
49.62638192,cash-out,afternoon,0,1,0,normal,low,same_region,0,0,183.4926003,0,legitimate
164.3528249,cash-out,afternoon,0,0,0,normal,high,different_region,0,0,288.4501162,0,legitimate
104.2990554,cash-in,afternoon,0,0,0,immediate,high,same_region,0,1,35.37659601,0,legitimate
233.4894765,transfer,afternoon,1,1,1,immediate,low,same_region,1,0,423.4644419,1,legitimate
117.179151,cash-out,afternoon,0,0,1,normal,high,different_region,0,0,55.01233057,0,legitimate
257.1128363,cash-out,afternoon,1,1,0,normal,low,same_region,0,0,622.9814736,0,legitimate
199.3622941,transfer,afternoon,0,0,0,normal,high,same_region,1,1,402.6399929,0,legitimate
169.5877404,transfer,afternoon,0,1,0,immediate,low,same_region,1,1,146.5573752,0,legitimate
53.66766299,cash-out,afternoon,0,0,0,normal,medium,same_region,0,0,411.4241711,0,legitimate
61.56054467,transfer,afternoon,0,0,0,normal,low,same_region,0,0,304.4428472,0,legitimate
285.2539151,transfer,morning,0,1,0,normal,low,same_region,0,0,159.5996613,0,legitimate
252.9189375,cash-in,morning,1,1,1,normal,medium,same_region,1,1,713.6462362,0,legitimate
877.9099652,transfer,afternoon,0,1,1,normal,low,different_region,0,0,43.86649113,0,social_engineering
218.7838912,cash-out,afternoon,0,0,1,immediate,low,same_region,1,0,274.4919258,0,legitimate
142.8125774,cash-in,morning,0,1,1,normal,high,same_region,0,0,177.0409509,0,legitimate
143.2451073,transfer,afternoon,0,0,0,normal,low,same_region,0,0,46.03365704,0,social_engineering
356.9907669,transfer,afternoon,1,0,0,normal,low,same_region,0,0,86.76187237,0,legitimate
175.5063086,transfer,morning,0,0,0,normal,low,same_region,1,0,608.3653775,0,legitimate
164.1193082,cash-in,morning,0,1,0,immediate,low,same_region,1,0,261.2429408,0,legitimate
114.1885174,cash-in,morning,1,0,0,normal,low,same_region,0,0,144.8064902,0,legitimate
28.01927309,cash-in,night,0,0,0,normal,high,same_region,1,0,331.0549448,0,legitimate
39.9342843,cash-out,night,0,0,0,normal,high,same_region,1,0,419.4989126,0,legitimate
184.9055357,cash-in,night,0,0,1,normal,low,same_region,0,0,214.1032424,1,legitimate
104.1252469,cash-in,afternoon,1,0,1,normal,low,same_region,0,0,180.488032,0,legitimate
324.2043537,cash-in,night,1,0,0,normal,low,same_region,0,0,396.6984701,1,legitimate
115.4184882,cash-in,morning,1,0,0,normal,medium,same_region,0,0,308.4154346,0,legitimate
267.4922092,transfer,afternoon,0,1,1,normal,medium,different_region,0,0,210.4364838,0,legitimate
310.1398347,cash-out,afternoon,0,0,1,normal,low,same_region,0,0,258.1199047,0,legitimate
308.9061676,transfer,night,1,0,0,normal,high,same_region,0,0,123.8654055,0,legitimate
347.5278114,transfer,afternoon,0,0,0,normal,low,same_region,0,0,38.41416213,0,legitimate
339.4057692,cash-out,afternoon,0,0,1,normal,low,same_region,0,0,123.7616448,0,legitimate
122.2708552,cash-in,night,0,0,0,normal,medium,same_region,0,0,87.70860586,0,legitimate
71.61222426,cash-out,afternoon,0,1,0,immediate,medium,same_region,0,0,134.9508902,0,sim_swap
69.90765677,cash-out,night,0,1,0,normal,low,same_region,0,0,9.045298664,0,legitimate
227.5940189,cash-in,afternoon,0,1,1,normal,high,different_region,1,0,194.0285371,0,legitimate
201.7539316,cash-in,morning,0,0,0,normal,low,same_region,0,0,145.6308461,0,legitimate
393.3109323,cash-in,night,0,0,0,normal,low,different_region,0,0,324.4755991,0,legitimate
128.4924834,cash-in,morning,1,1,1,normal,low,same_region,0,0,1720.576999,0,legitimate
54.94002736,cash-in,morning,1,0,0,normal,low,same_region,0,0,481.514563,0,legitimate
1096.506172,transfer,night,1,0,0,normal,low,different_region,0,0,224.0355179,1,legitimate
300.2061514,cash-in,morning,1,0,0,normal,low,same_region,0,0,166.3633271,0,legitimate
1219.318562,transfer,morning,1,0,1,normal,medium,same_region,1,0,96.29358392,0,legitimate
368.5643188,cash-in,afternoon,0,0,0,normal,low,same_region,0,0,204.2997514,0,legitimate
311.9460013,cash-in,morning,0,0,0,normal,low,same_region,0,0,45.05520227,0,legitimate
575.0810616,transfer,night,0,0,0,normal,low,same_region,0,0,42.62436209,0,legitimate
115.9509943,cash-out,afternoon,1,1,0,normal,low,same_region,1,0,154.12853,0,legitimate
113.6033506,cash-in,morning,1,1,1,normal,low,same_region,1,0,329.2351795,0,legitimate
93.15783596,cash-out,night,0,0,0,normal,low,same_region,0,0,0.01421891797,0,legitimate
579.5049044,cash-out,afternoon,0,0,0,normal,low,different_region,0,0,129.4706539,0,legitimate
59.7552312,cash-in,afternoon,1,0,0,normal,low,same_region,0,0,427.899428,1,legitimate
393.1997573,cash-in,night,0,0,0,immediate,low,different_region,1,1,331.5008386,0,legitimate
100.6463159,transfer,morning,1,0,0,normal,low,same_region,0,0,271.2257684,0,identity_theft
156.2244531,cash-out,morning,0,0,0,normal,high,same_region,0,0,104.1537165,0,legitimate
159.171675,cash-out,morning,0,0,1,normal,low,same_region,0,0,265.4769277,0,legitimate
1.561270062,transfer,afternoon,0,0,1,normal,high,same_region,0,0,185.4036868,1,legitimate
118.4643351,cash-in,night,0,0,0,normal,low,same_region,0,0,22.81796393,0,legitimate
614.8575786,transfer,night,0,1,0,normal,low,same_region,0,0,175.1892747,0,legitimate
16.35093751,cash-out,night,1,1,0,normal,low,same_region,0,0,180.2775702,0,legitimate
6273.616409,cash-in,afternoon,0,0,0,immediate,high,same_region,0,0,461.2335538,0,legitimate
181.2763554,cash-out,night,0,0,0,normal,low,same_region,0,1,996.327067,0,legitimate
64.02109249,transfer,afternoon,0,0,0,normal,low,same_region,0,0,311.6844677,0,legitimate
78.91410611,cash-in,afternoon,0,0,0,normal,low,same_region,0,0,461.9628917,0,legitimate
